,player_name,player_total_points,player_raids_total,player_raid_points_touch,player_raid_points_raid_bonus,player_tackle_points_total,player_tackle_points_touch,player_raids_successful,player_raids_unsuccessful,player_raids_Empty
107,Balbir Singh,15,25,7,3,5,5,7,8,10
108,Baldev Singh,70,6,0,1,69,61,0,2,4
109,Balram,2,2,2,0,0,0,1,0,1
110,Banty,11,28,8,1,2,2,7,10,11
111,Bassy Rudy Jonathan,0,0,0,0,0,0,0,0,0
112,Ben Marcelus,11,23,7,2,2,2,8,7,8
113,Benjamin Nugent,6,8,0,1,5,5,0,4,4
114,Bhabesh Kumar,0,0,0,0,0,0,0,0,0
115,Bhanu Tomar,9,22,7,2,0,0,6,11,5
116,Bharth CM,0,0,0,0,0,0,0,0,0
117,Bhavani Rajput,3,10,0,3,0,0,2,4,4
118,Bhawna Yadav,3,4,3,0,0,0,2,2,0
119,Bhupender Singh,83,212,49,22,12,11,48,51,113
120,Bhuvneshwar Gaur,6,7,3,3,0,0,3,4,0
121,Bismarck Charles,15,40,3,7,5,4,8,14,18
122,Bobby,0,0,0,0,0,0,0,0,0
123,Bonab Were,0,2,0,0,0,0,1,0,1
124,C H Manoj Kumar,9,16,5,4,0,0,9,5,2
125,C Kalai Arasan,0,0,0,0,0,0,0,0,0
126,C Manoj Kumar,14,21,9,1,4,4,7,9,5
127,C. Arun,108,33,2,2,104,89,3,3,27
128,C. Karnan,0,0,0,0,0,0,0,0,0
129,Campbell Brown,19,40,13,6,0,0,15,16,9
130,Chamara Ranidu,0,0,0,0,0,0,0,0,0
131,Chaminda R. S. M.,3,4,1,0,2,1,1,1,2
132,Chan Sik Park,20,14,9,1,10,9,9,1,4
133,Chand Singh,5,1,1,0,4,3,1,0,0
134,Chandran Ranjit,296,633,204,75,17,15,236,155,242
135,Chanwit Wichian,24,29,16,8,0,0,16,7,6
136,Cheol Gyu Shin,30,35,22,7,1,1,21,7,7
137,Chethan S,0,0,0,0,0,0,0,0,0
138,Chiaowen Yen,3,0,0,0,3,2,0,0,0
139,Chiranjeevi,0,0,0,0,0,0,0,0,0
140,Chrispine Oketch,20,22,12,0,8,6,10,6,6
141,D. Gopu,31,12,4,0,27,23,4,4,4
142,D. Pradap,51,66,11,7,33,31,11,12,43
143,D. Suresh Kumar,75,1,0,0,75,67,0,1,0
144,Dadaso Balaso Awad,19,30,5,0,14,12,4,8,18
145,Dalbir,0,3,0,0,0,0,0,1,2
146,Dalbir Malik,0,0,0,0,0,0,0,0,0
147,Damian Szostek,2,0,0,0,2,2,0,0,0
148,Darshan,2,1,0,0,2,2,0,1,0
149,Darshan J.,48,5,0,2,46,45,0,3,2
150,Darshan Kadian,92,224,75,9,8,5,66,57,101
151,David Mosambayi,64,126,41,11,12,10,43,29,54
152,David Ritchey,1,2,0,1,0,0,0,2,0
153,Deeljeet Chauhan,23,49,17,5,1,1,18,14,17
154,Deepak,0,0,0,0,0,0,0,0,0
155,Deepak Dhull,13,2,0,1,12,11,0,2,0
156,Deepak Hooda,526,964,394,89,43,39,390,188,386
157,Deepak K. Dahiya,6,18,4,2,0,0,3,4,11
158,Deepak Kumar,33,47,9,0,24,21,7,12,28
159,Deepak Kumar Dahiya,195,486,155,20,20,19,140,115,230
160,Deepak Narwal,306,701,195,98,13,12,239,181,281
161,Deepak Nivas Hudda,96,153,50,10,36,32,54,27,72
162,Deepak Niwas Hooda,328,575,250,34,44,44,244,94,237
163,Deepak Sharma,0,0,0,0,0,0,0,0,0
164,Deepak Yadav,8,2,0,0,8,7,0,1,1
165,Deepika,0,3,0,0,0,0,0,0,3
166,Deepika Henry Joseph,3,3,0,0,3,3,0,1,2
167,Deepika Joseph,10,5,0,0,10,10,0,0,5
168,Denmar McKie,4,5,0,2,2,1,0,5,0
169,Devendra Kadam,1,1,0,0,1,1,0,0,1
170,Devika Chauhan,0,0,0,0,0,0,0,0,0
171,Devin Anderson,2,10,0,1,1,1,1,9,0
172,Dhanraj B,15,1,1,0,14,12,1,0,0
173,Dharmaraj Cheralathan,264,176,28,14,222,203,29,10,137
174,Dharmender,5,6,5,0,0,0,2,4,0
175,Dharmendra Singh,0,0,0,0,0,0,0,0,0
176,Dillyon Banks,23,36,16,3,4,4,11,13,12
177,Dinesh Kumar,19,93,16,3,0,0,17,28,48
178,Dominick Lo Presti,1,3,0,0,1,1,0,2,1
179,Dong Geon Lee,97,220,67,29,1,1,76,65,79
180,Dong Gyu Kim,39,50,33,4,2,2,27,15,8
181,Dong Ju Hong,32,69,21,5,6,6,22,11,36
182,Dovlet Boshimov,6,5,4,0,2,2,3,1,1
183,E Subash,4,0,0,0,4,3,0,0,0
184,Ehsan Zamani Fard,8,22,3,1,4,4,3,11,8
185,Elangeshwaran R,16,23,8,4,4,2,7,7,9
186,Elavarasan A,4,0,0,0,4,3,0,0,0
187,Elphas Otieno,8,2,0,1,7,5,1,1,0
188,Emad Sedaghatnia,17,22,15,2,0,0,12,4,6
189,Embuga George,0,0,0,0,0,0,0,0,0
190,Erick Oduor,0,0,0,0,0,0,0,0,0
191,Esau Otieno,10,6,1,0,9,6,1,2,3
192,Esmaeil Nabibakhsh,116,216,80,5,31,28,67,44,105
193,Etsuki Manita,15,28,4,6,5,4,7,5,16
194,Eugenio Petermann,27,44,20,6,1,1,17,13,14
195,Facundo Jios,3,4,3,0,0,0,1,3,0
196,Farhad Kamal Gharibi,0,0,0,0,0,0,0,0,0
197,Farhad Milaghardan,134,149,41,11,82,78,41,31,77
198,Farideh Zarif Doost,3,0,0,0,3,3,0,0,0
199,Fatemeh Karami Khatounban,0,0,0,0,0,0,0,0,0
200,Fazel Atrachali,323,67,10,2,311,292,10,7,50
201,Febriantari Kadek Surya,0,0,0,0,0,0,0,0,0
202,Federico Gramajo,13,35,10,3,0,0,10,12,13
203,Felix Odhiambo Opana,0,1,0,0,0,0,0,1,0
204,Ferdous Sheikh,17,1,3,0,14,14,1,0,0
205,Filip Sesay,9,10,6,0,3,3,4,6,0
206,Filip Szczeski,10,1,1,0,9,9,1,0,0
207,Franco Castro,33,50,22,6,5,4,21,17,12
208,G Ambeswaran,3,0,0,0,3,3,0,0,0
209,G. S. Manikandan,10,1,0,0,10,9,0,1,0
210,G.S. Manikandan,1,0,0,0,1,1,0,0,0
211,Gabriel Sacchi,3,1,0,0,3,2,0,1,0
212,Gangadhari Mallesh,41,69,18,2,21,17,15,16,38
213,Garry Dami,0,0,0,0,0,0,0,0,0
214,Gaurav Kumar,2,10,2,0,0,0,2,5,3
215,Gayatri,6,1,0,1,5,3,0,1,0
216,Ghazal Khalaj,10,14,5,3,2,2,8,1,5
217,Gholamabbas Korouki,19,50,18,1,0,0,19,8,23
218,Girish Ernak,25,14,0,1,24,24,0,1,13
219,Girish Maruti Ernak,241,54,3,5,233,220,3,4,47
220,Gnanasekaran M,7,14,3,2,2,1,3,5,6
221,Gokul Krishnan,4,3,3,0,1,1,2,0,1
222,Gokul Shitole,0,0,0,0,0,0,0,0,0
223,Gopal,0,0,0,0,0,0,0,0,0
224,Gopalappa Thimarayappa,0,1,0,0,0,0,0,1,0
225,Gulveer Singh,3,8,2,1,0,0,1,7,0
226,Guman Singh,0,1,0,0,0,0,0,0,1
227,Gunawardane Nishantha,0,0,0,0,0,0,0,0,0
228,Gurchet Singh,3,7,1,0,2,2,1,4,2
229,Gurdeep,0,0,0,0,0,0,0,0,0
230,Gurmeet Singh,1,1,1,0,0,0,1,0,0
231,Gurpreet Singh,4,3,1,1,2,2,1,1,1
232,Gurvinder Singh,108,225,57,25,26,26,59,56,109
233,Gyung Tae Kim,30,30,12,2,16,14,14,5,11
234,Hadi Oshtorak,110,46,8,4,98,84,7,8,31
235,Hadi Tajik,31,23,4,2,25,23,4,11,8
